Judge,Candidate.Chosen,Candidate.Not.Chosen,group
505,50,99,expert2
507,50,110,expert2
200,50,111,peer2
606,50,112,novice
56,50,112,peer1
196,50,114,peer2
502,50,120,expert1
604,50,130,novice
156,50,132,peer1
703,50,142,expert2
214,50,145,peer2
502,50,147,expert1
608,50,147,novice
603,50,154,novice
506,50,157,expert1
506,50,164,expert1
508,50,164,expert1
211,50,169,peer1
706,50,175,expert2
711,50,181,expert1
212,50,184,peer2
35,50,190,peer1
701,50,191,expert2
502,50,194,expert1
507,50,194,expert2
508,50,198,expert1
505,50,198,expert2
507,50,198,expert2
505,50,211,expert2
710,50,212,expert1
709,50,214,expert1
121,50,215,peer1
506,50,216,expert1
509,50,216,expert2
502,50,223,expert1
710,50,227,expert1
155,50,227,peer1
506,52,22,expert1
507,52,26,expert2
150,52,36,peer1
602,52,37,novice
705,52,111,expert2
506,52,114,expert1
602,52,116,novice
601,52,121,novice
707,52,128,expert2
89,52,130,peer2
602,52,132,novice
503,52,136,expert2
508,52,144,expert1
150,52,144,peer1
93,52,149,peer2
60,52,180,peer2
167,52,182,peer2
508,52,203,expert1
46,52,203,peer1
705,52,205,expert2
46,52,210,peer1
506,52,215,expert1
711,52,216,expert1
508,52,221,expert1
607,52,228,novice
220,53,2,peer2
714,53,3,expert2
508,53,6,expert1
34,53,22,peer2
704,53,23,expert1
609,53,23,novice
155,53,24,peer1
506,53,26,expert1
501,53,31,expert1
506,53,47,expert1
710,53,52,expert1
609,53,70,novice
61,53,75,peer1
506,53,93,expert1
711,53,108,expert1
709,53,122,expert1
20,53,136,peer1
136,53,145,peer2
708,53,149,expert1
240,53,181,peer2
507,53,190,expert2
710,53,194,expert1
37,53,202,peer2
602,53,209,novice
607,53,214,novice
714,53,219,expert2
715,53,219,expert2
