School,Judge,Candidate.Chosen,Candidate.Not.Chosen
5403,405,1010,91
5403,405,101,91
5403,405,109,101
5403,405,109,89
5403,405,89,82
5403,405,82,92
5403,405,92,94
5403,405,94,84
5403,405,81,84
5403,405,810,81
5403,405,87,810
5403,405,87,93
5403,405,107,93
5403,405,83,107
5403,405,105,83
5403,405,104,105
5403,405,104,86
5403,405,86,85
5403,405,85,103
5403,405,103,95
8454038,481,106,88
8454038,481,88,82
8454038,481,89,82
8454038,481,89,84
8454038,481,107,84
8454038,481,107,93
8454038,481,83,93
8454038,481,83,85
8454038,481,85,109
8454038,481,109,102
8454038,481,1010,102
8454038,481,1010,94
8454038,481,91,94
8454038,481,101,91
8454038,481,87,101
8454038,481,87,105
8454038,481,104,105
8454038,481,104,92
8454038,481,95,92
8454038,481,103,95
8454038,481,103,86
8454038,466,84,91
8454038,466,84,810
8454038,466,85,810
8454038,466,107,85
8454038,466,107,101
8454038,466,101,109
8454038,466,104,109
8454038,466,86,104
8454038,466,86,89
8454038,466,103,89
8454038,466,103,95
8454038,466,89,95
8454038,466,95,82
8454038,466,82,85
8454038,466,85,101
8454038,466,101,106
8454038,466,106,86
8454038,466,86,1010
8454038,466,88,93
8454038,466,93,92
8454038,466,1010,103
8454038,466,92,81
8454038,466,103,88
8454038,466,81,104
8454038,466,104,102
8454038,466,102,87
8454038,466,87,109
8454038,466,109,91
8454038,482,87,91
8454038,482,107,87
8454038,482,103,107
8454038,482,103,109
8454038,482,109,102
8454038,482,106,102
8454038,482,106,95
8454038,482,95,810
8454038,482,81,810
8454038,482,81,94
8454038,482,82,94
8454038,482,101,82
8454038,482,101,104
8454038,482,105,104
8454038,482,105,92
8454038,482,84,92
8454038,482,1010,84
8454038,482,89,1010
8454038,482,89,93
8454038,482,83,93
8454038,482,83,86
8454038,482,88,86
8454038,482,88,85
8454038,483,107,109
8454038,483,107,89
8454038,483,86,89
8454038,483,86,93
8454038,483,101,93
8454038,483,105,101
8454038,483,103,105
8454038,483,103,85
