session,judge,candidate_chosen,candidate_not_chosen
2,12,Mexican Coke,RC
2,12,Coca Cola,RC
2,12,RC,Pepsi
2,14,Pepsi,Pepsi Real Sugar
2,14,Sams,Pepsi Real Sugar
2,14,Mexican Coke,Sams
2,14,RC,Pepsi
2,14,Mexican Coke,RC
2,15,Sams,Pepsi
2,15,Sams,Pepsi Real Sugar
2,15,Mexican Coke,Sams
2,15,RC,Pepsi Real Sugar
2,15,Mexican Coke,RC
2,16,RC,Pepsi Real Sugar
2,16,Sams,Pepsi Real Sugar
2,16,Mexican Coke,Pepsi
2,16,Mexican Coke,Pepsi Real Sugar
2,16,Mexican Coke,RC
2,17,RC,Pepsi Real Sugar
2,17,RC,Sams
2,17,Mexican Coke,Pepsi
2,17,Mexican Coke,Pepsi Real Sugar
2,17,RC,Mexican Coke
2,18,Sams,Coca Cola
2,18,Mexican Coke,Coca Cola
2,18,Mexican Coke,Pepsi
2,18,Mexican Coke,Sams
2,18,Sams,RC
2,19,Pepsi,Sams
2,19,Coca Cola,RC
2,19,RC,Pepsi
2,19,Pepsi Real Sugar,RC
2,19,Mexican Coke,RC
2,20,Sams,Pepsi Real Sugar
2,20,Mexican Coke,Sams
2,20,Sams,RC
2,20,Mexican Coke,Coca Cola
2,20,Mexican Coke,RC
2,21,Mexican Coke,Pepsi Real Sugar
2,21,Mexican Coke,Sams
2,21,Pepsi,RC
2,21,RC,Pepsi Real Sugar
2,21,RC,Sams
2,22,Pepsi Real Sugar,Sams
2,22,Mexican Coke,Sams
2,22,Pepsi,RC
2,22,RC,Sams
2,22,Mexican Coke,RC
2,23,Pepsi,Sams
2,23,Mexican Coke,Sams
2,23,Pepsi,Mexican Coke
2,23,Pepsi Real Sugar,RC
2,23,Mexican Coke,RC
2,24,Sams,Pepsi Real Sugar
2,24,Mexican Coke,Pepsi Real Sugar
2,24,Sams,Mexican Coke
2,24,Sams,RC
2,24,Coca Cola,Mexican Coke
2,25,Coca Cola,Mexican Coke
2,25,Mexican Coke,Pepsi
2,25,Mexican Coke,Sams
2,25,Coca Cola,RC
2,25,Sams,RC
2,26,Coca Cola,Pepsi Real Sugar
2,26,RC,Sams
2,26,Mexican Coke,Pepsi Real Sugar
