judge,candidate_chosen,candidate_not_chosen,group
163,216,41,peer2
59,216,159,peer2
90,216,213,peer2
90,217,202,peer2
87,217,202,peer2
90,217,216,peer2
163,218,34,peer2
141,218,57,peer2
54,218,69,peer2
77,218,123,peer2
203,218,201,peer2
186,219,34,peer2
124,219,53,peer2
21,219,179,peer2
7,220,2,peer2
175,220,119,peer2
7,220,191,peer2
169,220,194,peer2
203,220,216,peer2
149,221,38,peer2
175,221,56,peer2
27,221,78,peer2
41,221,104,peer2
226,221,113,peer2
123,221,132,peer2
62,221,202,peer2
161,221,207,peer2
163,221,218,peer2
123,221,224,peer2
163,223,33,peer2
163,223,34,peer2
124,223,148,peer2
240,223,212,peer2
142,224,50,peer2
52,224,92,peer2
114,224,119,peer2
77,224,164,peer2
54,224,187,peer2
76,224,195,peer2
52,224,207,peer2
175,224,218,peer2
105,224,221,peer2
21,225,6,peer2
183,225,21,peer2
65,225,43,peer2
201,225,70,peer2
197,225,95,peer2
201,225,140,peer2
34,225,194,peer2
161,226,6,peer2
197,226,8,peer2
106,226,35,peer2
161,226,58,peer2
106,226,89,peer2
212,226,102,peer2
77,226,115,peer2
115,226,126,peer2
115,226,132,peer2
143,226,142,peer2
212,226,154,peer2
167,226,195,peer2
161,227,6,peer2
220,227,48,peer2
88,227,58,peer2
38,227,78,peer2
23,227,104,peer2
23,227,187,peer2
204,227,192,peer2
77,228,21,peer2
173,228,56,peer2
174,228,71,peer2
184,228,74,peer2
186,228,91,peer2
76,228,109,peer2
101,228,136,peer2
76,228,136,peer2
196,228,136,peer2
173,228,141,peer2
174,228,190,peer2
164,228,200,peer2
164,228,203,peer2
200,228,207,peer2
105,229,79,peer2
34,229,99,peer2
106,229,110,peer2
42,229,128,peer2
2,229,163,peer2
76,229,200,peer2
213,229,210,peer2
2,229,230,peer2
41,230,23,peer2
27,230,24,peer2
27,230,39,peer2
90,230,78,peer2
186,230,123,peer2
60,230,180,peer2
102,230,181,peer2
41,230,221,peer2
