judge,candidate_chosen,candidate_not_chosen,time_taken
aWSbAXGNHgzZsBTnz,6gZgcNytec65SZGN7,T5obF7dxiMLKmjcJJ,2.173
qH3PsB5bTfazu6C69,yoQr5KJnZboZZXt3K,fxspS2SEz3Bv3LgYY,7.739
fJC3QTuTKQCjPdtg7,Mc6NBSWC4NvRT3tBn,S2jRQuwxfrevH7NTy,6.272
aWSbAXGNHgzZsBTnz,6gZgcNytec65SZGN7,zoyLcsyuhL33JMGaA,3.021
qH3PsB5bTfazu6C69,S2jRQuwxfrevH7NTy,ACEGpME2RJvXyuynF,8.235
aWSbAXGNHgzZsBTnz,6gZgcNytec65SZGN7,dgovLjAkHKactw8Te,3.069
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,fxspS2SEz3Bv3LgYY,64.403
aWSbAXGNHgzZsBTnz,S2jRQuwxfrevH7NTy,zoyLcsyuhL33JMGaA,240.209
crjQ3f6BsbXqwkqcK,ACEGpME2RJvXyuynF,KuHzmmptLeDhhsWPx,262.745
aWSbAXGNHgzZsBTnz,6gZgcNytec65SZGN7,FCwSmYgHBoASKQyD4,28.398
crjQ3f6BsbXqwkqcK,cvP4FRNexvEeDmSwW,MFcor3aTKnq29A2W6,25.893
crjQ3f6BsbXqwkqcK,S2jRQuwxfrevH7NTy,ACEGpME2RJvXyuynF,8.727
crjQ3f6BsbXqwkqcK,T5obF7dxiMLKmjcJJ,fxspS2SEz3Bv3LgYY,63.354
aWSbAXGNHgzZsBTnz,S2jRQuwxfrevH7NTy,FCwSmYgHBoASKQyD4,37.128
fGNbMkneyek8tyCG9,S2jRQuwxfrevH7NTy,T5obF7dxiMLKmjcJJ,30.332
aWSbAXGNHgzZsBTnz,6gZgcNytec65SZGN7,fxspS2SEz3Bv3LgYY,2.415
aWSbAXGNHgzZsBTnz,Mc6NBSWC4NvRT3tBn,KuHzmmptLeDhhsWPx,5.207
qH3PsB5bTfazu6C69,6gZgcNytec65SZGN7,MFcor3aTKnq29A2W6,7.658
aWSbAXGNHgzZsBTnz,zoyLcsyuhL33JMGaA,fxspS2SEz3Bv3LgYY,4.982
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,dgovLjAkHKactw8Te,8.904
fGNbMkneyek8tyCG9,ea5tYyskbe2hJxyBg,ACEGpME2RJvXyuynF,8.917
fJC3QTuTKQCjPdtg7,Yt6mzQcy3Qejg82CQ,FCwSmYgHBoASKQyD4,70.967
fJC3QTuTKQCjPdtg7,dgovLjAkHKactw8Te,ACEGpME2RJvXyuynF,201.791
fJC3QTuTKQCjPdtg7,Yt6mzQcy3Qejg82CQ,6gZgcNytec65SZGN7,8.23
fGNbMkneyek8tyCG9,ea5tYyskbe2hJxyBg,FCwSmYgHBoASKQyD4,7.773
aWSbAXGNHgzZsBTnz,Mc6NBSWC4NvRT3tBn,ea5tYyskbe2hJxyBg,12.7
aWSbAXGNHgzZsBTnz,dgovLjAkHKactw8Te,fxspS2SEz3Bv3LgYY,3.79
qH3PsB5bTfazu6C69,Mc6NBSWC4NvRT3tBn,KuHzmmptLeDhhsWPx,5.572
qH3PsB5bTfazu6C69,yoQr5KJnZboZZXt3K,fxspS2SEz3Bv3LgYY,13.819
