judge,candidate_chosen,candidate_not_chosen,time_taken
N3,C43.2 word,C99.2 word,16.8
N3,C107.1 word,C65.1 word,23.9
N3,C59.2 word,256322-256314-21849538,26.1
N3,256322-256314-21860772,C105.1 word,18.7
N3,C13.2 word,256322-256314-21787574,26.6
N3,256322-256314-22118172,256322-256314-21787437,11.9
N3,C112.2 word,C29.1 word,12.1
N3,C38.1 word,C48.1 word,14.4
N3,256322-256314-22052022,256322-256314-22759029,20.3
N3,C105.2 word,C112.1 word,16.2
N3,C28.1 word,C12.2 word,17.2
N3,C119.1 word,C62.1 word,31.2
N3,256322-256314-22795338,C89.1 word,17.1
N3,C41.1 word,C89.1 word,18.2
N3,C56.2 word,C120.1 word,24.2
N3,C109.2 word,C69.2 word,9.2
N3,256322-256314-22824807,C42.2 word,9.5
N3,C84.1 word,C86.1 word,12.4
N3,C43.2 word,C113.2 word,21.9
N3,256322-256314-21839336,256322-256314-22795338,10.3
N3,C99.1 word,C34.1 word,13.5
N3,C3.2 word,C113.1 word,15
N3,C45.1 word,256322-256314-21847713,21.2
N3,C110.2 word,C75.2 word,11.9
N3,C81.1 word,256322-256314-21847713,18.7
N3,C75.2 word,256322-256314-22779100,32.7
N3,C52.2 word,C97.1 word,9.2
N3,C23.2 word,C113.2 word,16.8
N3,C32.1 word,C51.1 word,40.3
N3,256322-256314-22114669,256322-256314-21860772,11.9
N3,256322-256314-22041283,C31.1 word,14.3
N3,C106.1 word,256322-256314-21787935,20.6
N3,256322-256314-21788344,C119.1 word,15.2
N3,C11.2 word,256322-256314-21860772,16.9
N3,256322-256314-22067929,C18.1 word,20.6
N3,C85.1 word,256322-256314-22113907,8.2
N3,256322-256314-22034228,C42.2 word,15.3
N3,256322-256314-22094276,C61.2 word,16.2
N3,C74.2 word,C83.1 word,16.5
N3,C64.2 word,C63.1 word,7.6
N3,C65.2 word,C22.2 word,9.5
N3,256322-256314-21860772,C79.2 word,15.9
N3,256322-256314-22780844,C15.2 word,22.4
N3,C27.1 word,256322-256314-21858879,37.4
N3,C33.1 word,C116.1 word,19.7
N3,256322-256314-22828688,C25.1 word,20.6
N3,C94.1 word,C76.2 word,28.5
N3,C83.2 word,C74.2 word,12.3
N3,C81.2 word,C20.1 word,24.2
N3,C103.2 word,C114.1 word,27.1
N3,C60.2 word,C108.2 word,12.5
N3,256322-256314-22159528,C44.2 word,16.4
N3,C13.2 word,C47.2 word,21.3
N3,256322-256314-22824794,C117.1 word,22.8
N3,256322-256314-22824745,C79.2 word,40.8
N3,C51.2 word,C55.1 word,16.5
N3,C76.1 word,256322-256314-21847156,17.1
N3,256322-256314-21849538,C84.2 word,18.7
N3,C115.2 word,C72.2 word,20.3
N3,C38.1 word,C2.2 word,48
N3,256322-256314-22118172,C42.1 word,31.9
N3,C59.2 word,C44.1 word,51.3
N4,C46.2 word,256322-256314-22088225,31
N4,C68.1 word,C22.2 word,6.2
N4,C120.1 word,256322-256314-22034134,7.1
N4,C28.1 word,C52.1 word,15.6
N4,256322-256314-21847156,256322-256314-22466548,24.9
N4,C101.2 word,C18.1 word,3.9
N4,256322-256314-22779100,256322-256314-22034134,8.3
N4,256322-256314-22052022,C77.1 word,11.5
N4,C109.1 word,C89.1 word,12.2
N4,C84.1 word,C63.1 word,13.3
N4,C30.1 word,C99.2 word,3.5
N4,C21.1 word,256322-256314-21788135,82.9
N4,C73.2 word,C49.1 word,24
N4,C13.2 word,C48.1 word,27.7
N4,256322-256314-22034134,C115.1 word,6.1
N4,C58.1 word,256322-256314-22824807,14.3
N4,256322-256314-22039322,C51.1 word,26.7
N4,C75.1 word,C34.1 word,12.2
N4,C112.1 word,C37.1 word,58.2
N4,C117.1 word,C112.2 word,4.6
N4,C98.1 word,C91.1 word,8.2
N4,256322-256314-21855861,256322-256314-22113907,13.7
N4,C57.1 word,C18.1 word,20.2
N4,C59.1 word,256322-256314-22824759,9.8
N4,256322-256314-21787881,256322-256314-21851432,10
N4,C54.2 word,C51.2 word,13.1
N4,C86.1 word,256322-256314-22113907,17.4
N4,C2.2 word,C104.2 word,21.3
N4,256322-256314-21788344,C50.1 word,9
N4,C90.1 word,C45.2 word,14.1
N4,C58.1 word,C116.1 word,24.1
N4,256322-256314-21787437,C26.1 word,7.3
N4,C61.1 word,C29.1 word,7.8
N4,C105.1 word,C22.1 word,12.9
N4,256322-256314-21847713,C113.2 word,14.4
N4,C56.2 word,C58.2 word,16
N4,C65.1 word,C66.1 word,5.3
N4,C81.2 word,256322-256314-22039885,6.3
N4,C82.1 word,C41.1 word,7.8
N4,C112.1 word,C35.1 word,20.3
N4,256322-256314-21858879,C102.2 word,35.2
N4,256322-256314-22041283,C44.2 word,2.9
N4,C112.2 word,C107.1 word,7.2
N4,C93.1 word,C16.1 word,9
N4,C95.1 word,C30.1 word,11.2
N4,C44.1 word,C113.2 word,33
N4,C56.1 word,256322-256314-21849538,8.7
N4,C42.2 word,C105.2 word,36.2
N4,C23.2 word,C47.1 word,7
N4,256322-256314-22034134,C113.2 word,12.4
N4,C47.2 word,C69.2 word,12.8
N4,C109.1 word,256322-256314-21839336,34.4
N4,256322-256314-21787935,C15.2 word,28.1
N4,C72.1 word,256322-256314-22795338,34.5
N4,C72.1 word,C116.1 word,11.9
N4,256322-256314-22094276,C19.1 word,49.8
N4,C93.1 word,C33.1 word,8
N4,256322-256314-22039885,C45.1 word,9
N4,C59.1 word,C82.1 word,10.7
N4,C11.2 word,C12.2 word,21.9
N4,256322-256314-22041283,256322-256314-22780844,12.4
N4,C60.2 word,C72.1 word,25.6
N4,C22.1 word,C76.2 word,7.6
N4,C28.1 word,C74.1 word,9.7
N4,C64.1 word,C83.1 word,9.8
N4,C110.2 word,256322-256314-21800794,10.6
N4,C52.2 word,256322-256314-21851432,12
N4,C56.2 word,256322-256314-22824745,19
N4,256322-256314-22041283,C61.2 word,9.3
N4,C61.1 word,C26.2 word,18.3
N4,256322-256314-21787437,256322-256314-21788390,28.1
N4,C43.2 word,C49.1 word,68.4
N4,C81.1 word,256322-256314-22759029,10.1
N4,256322-256314-22067929,C54.2 word,23.8
N4,C113.1 word,C35.1 word,29.1
N4,C111.2 word,C92.1 word,8.1
N4,C106.1 word,C82.1 word,8.6
N4,C13.2 word,256322-256314-22780604,11.6
N4,C98.1 word,C20.1 word,38.1
N4,C65.2 word,C47.1 word,10.7
N4,C43.1 word,C51.1 word,42.2
N4,256322-256314-21800794,C26.1 word,6.5
N4,C114.1 word,C42.1 word,12.3
N4,256322-256314-21847156,256322-256314-22159528,25.6
N4,256322-256314-21788344,C47.1 word,8.2
N4,C64.1 word,256322-256314-21950198,8.2
N4,256322-256314-21848795,C18.1 word,9.2
N4,C118.2 word,C66.1 word,15.9
N4,256322-256314-21848795,C107.1 word,39.6
N4,C16.1 word,256322-256314-22114669,8.3
N4,C26.2 word,C120.1 word,35.6
N4,C76.1 word,C25.2 word,8.5
N4,C105.2 word,C32.1 word,17.5
N4,256322-256314-22780604,C41.2 word,44.5
N4,256322-256314-21799725,256322-256314-21800794,94.6
N4,256322-256314-21848795,C108.2 word,23.2
N4,C115.2 word,C48.1 word,9.1
N4,C101.2 word,C30.1 word,18.9
